timestamp,symbol,ltf,htf,direction,entry,sl,tp,rr
2025-12-17 23:18:01,BTCUSDT,3m,15m,SHORT,86544.19,86799.9,86032.76,2.0
2025-12-17 23:18:23,BTCUSDT,3m,15m,SHORT,86593.88,86804.43,86172.78,2.0
